# Rsilicon-2026-05-10 gale: DWT rows:   D,<at>,<cyccnt>,<cpicnt>,<exccnt>,<sleepcnt>,<lsucnt>,<foldcnt>
# Rsilicon-2026-05-10 gale: health rows:H,<at>,<temp_mC>,<vref_mV>,<vbat_mV>
Rsilicon-2026-05-10,gale,D,boot,6498924,193,52,0,210,151
Rsilicon-2026-05-10,gale,H,boot,211981,27650,0
Rsilicon-2026-05-10,gale,E,0,0,500,253,1345
Rsilicon-2026-05-10,gale,E,1,0,500,253,582
Rsilicon-2026-05-10,gale,E,2,0,500,253,582
Rsilicon-2026-05-10,gale,E,3,0,500,253,582
Rsilicon-2026-05-10,gale,E,4,0,500,253,582
Rsilicon-2026-05-10,gale,E,5,0,500,253,582
Rsilicon-2026-05-10,gale,E,6,0,500,253,582
Rsilicon-2026-05-10,gale,E,7,0,500,253,582
Rsilicon-2026-05-10,gale,E,8,0,500,253,582
Rsilicon-2026-05-10,gale,E,9,0,500,253,582
Rsilicon-2026-05-10,gale,E,10,0,500,253,582
Rsilicon-2026-05-10,gale,E,11,0,500,253,582
Rsilicon-2026-05-10,gale,E,12,0,500,253,582
Rsilicon-2026-05-10,gale,E,13,0,500,253,582
Rsilicon-2026-05-10,gale,E,14,0,500,253,582
Rsilicon-2026-05-10,gale,E,15,0,500,253,582
Rsilicon-2026-05-10,gale,E,16,0,500,253,582
Rsilicon-2026-05-10,gale,E,17,0,500,253,582
Rsilicon-2026-05-10,gale,E,18,0,500,253,582
Rsilicon-2026-05-10,gale,E,19,0,500,253,582
Rsilicon-2026-05-10,gale,E,20,0,500,253,582
Rsilicon-2026-05-10,gale,E,21���b���b�
Rsilicon-2026-05-10,gale,E,409,0,500,253,582
Rsilicon-2026-05-10,gale,E,410,0,500,253,582
Rsilicon-2026-05-10,gale,E,411,0,500,253,582
Rsilicon-2026-05-10,gale,E,412,0,500,253,582
Rsilicon-2026-05-10,gale,E,413,0,500,253,582
Rsilicon-2026-05-10,gale,E,414,0,500,253,582
Rsilicon-2026-05-10,gale,E,415,0,500,253,582
Rsilicon-2026-05-10,gale,E,416,0,500,253,582
Rsilicon-2026-05-10,gale,E,417,0,500,253,582
Rsilicon-2026-05-10,gale,E,418,0,500,253,582
Rsilicon-2026-05-10,gale,E,419,0,500,253,582
Rsilicon-2026-05-10,gale,E,420,0,500,253,582
Rsilicon-2026-05-10,gale,E,421,0,500,253,582
Rsilicon-2026-05-10,gale,E,422,0,500,253,582
Rsilicon-2026-05-10,gale,E,423,0,500,253,582
Rsilicon-2026-05-10,gale,E,424,0,500,253,582
Rsilicon-2026-05-10,gale,E,425,0,500,253,582
Rsilicon-2026-05-10,gale,E,426,0,500,253,582
Rsilicon-2026-05-10,gale,E,427,0,500,253,582
Rsilicon-2026-05-10,gale,E,428,0,500,253,582
Rsilicon-2026-05-10,gale,E,429,0,500,253,582
Rsilicon-2026-05-10,gale,E,430,0,500,253,582
Rsilicon-2026-05-10,gale,E,431,0,500,253,582
Rsilicon-2026-05-10,gale,E,432,0,500,253,582
Rsilicon-2026-05-10,gale,E,433,0,500,253,582
Rsilicon-2026-05-10,gale,E,434,0,500,253,582
Rsilicon-2026-05-10,gale,E,435,0,500,253,582
Rsilicon-2026-05-10,gale,E,436,0,500,253,582
Rsilicon-2026-05-10,gale,E,437,0,500,253,582
Rsilicon-2026-05-10,gale,E,438,0,500,253,582
Rsilicon-2026-05-10,gale,E,439,0,500,253,582
Rsilicon-2026-05-10,gale,E,440,0,500,253,582
Rsilicon-2026-05-10,gale,E,441,0,500,253,582
Rsilicon-2026-05-10,gale,E,442,0,500,253,582
Rsilicon-2026-05-10,gale,E,443,0,500,253,582
Rsilicon-2026-05-10,gale,E,444,0,500,253,582
Rsilicon-2026-05-10,gale,E,445,0,500,253,582
Rsilicon-2026-05-10,gale,E,446,0,500,253,582
Rsilicon-2026-05-10,gale,E,447,0,500,253,582
Rsilicon-2026-05-10,gale,E,448,0,500,253,582
Rsilicon-2026-05-10,gale,E,449,0,500,253,582
Rsilicon-2026-05-10,gale,E,450,0,500,253,582
Rsilicon-2026-05-10,gale,E,451,0,500,253,582
Rsilicon-2026-05-10,gale,E,452,0,500,253,582
Rsilicon-2026-05-10,gale,E,453,0,500,253,582
Rsilicon-2026-05-10,gale,E,454,0,500,253,582
Rsilicon-2026-05-10,gale,E,455,0,500,253,582
Rsilicon-2026-05-10,gale,E,456,0,500,253,582
Rsilicon-2026-05-10,gale,E,457,0,500,253,582
Rsilicon-2026-05-10,gale,E,458,0,500,253,582
Rsilicon-2026-05-10,gale,E,459,0,500,253,582
Rsilicon-2026-05-10,gale,E,460,0,500,253,582
Rsilicon-2026-05-10,gale,E,461,0,500,253,582
Rsilicon-2026-05-10,gale,E,462,0,500,253,582
Rsilicon-2026-05-10,gale,E,463,0,500,253,582
Rsilicon-2026-05-10,gale,E,464,0,500,253,582
Rsilicon-2026-05-10,gale,E,465,0,500,253,582
Rsilicon-2026-05-10,gale,E,466,0,500,253,582
Rsilicon-2026-05-10,gale,E,467,0,500,253,582
Rsilicon-2026-05-10,gale,E,468,0,500,253,582
Rsilicon-2026-05-10,gale,E,469,0,500,253,582
Rsilicon-2026-05-10,gale,E,470,0,500,253,582
Rsilicon-2026-05-10,gale,E,471,0,500,253,582
Rsilicon-2026-05-10,gale,E,472,0,500,253,582
Rsilicon-2026-05-10,gale,E,473,0,500,253,582
Rsilicon-2026-05-10,gale,E,474,0,500,253,582
Rsilicon-2026-05-10,gale,E,475,0,500,253,582
Rsilicon-2026-05-10,gale,E,476,0,500,253,582
Rsilicon-2026-05-10,gale,E,477,0,500,253,582
Rsilicon-2026-05-10,gale,E,478,0,500,253,582
Rsilicon-2026-05-10,gale,E,479,0,500,253,582
Rsilicon-2026-05-10,gale,E,480,0,500,253,582
Rsilicon-2026-05-10,gale,E,481,0,500,253,582
Rsilicon-2026-05-10,gale,E,482,0,500,253,582
Rsilicon-2026-05-10,gale,E,483,0,500,253,582
Rsilicon-2026-05-10,gale,E,484,0,500,253,582
Rsilicon-2026-05-10,gale,E,485,0,500,253,582
Rsilicon-2026-05-10,gale,E,486,0,500,253,582
Rsilicon-2026-05-10,gale,E,487,0,500,253,582
Rsilicon-2026-05-10,gale,E,488,0,500,253,582
Rsilicon-2026-05-10,gale,E,489,0,500,253,582
Rsilicon-2026-05-10,gale,E,490,0,500,253,582
Rsilicon-2026-05-10,gale,E,491,0,500,253,582
Rsilicon-2026-05-10,gale,E,492,0,500,253,582
Rsilicon-2026-05-10,gale,E,493,0,500,253,582
Rsilicon-2026-05-10,gale,E,494,0,500,253,582
Rsilicon-2026-05-10,gale,E,495,0,500,253,582
Rsilicon-2026-05-10,gale,E,496,0,500,253,582
Rsilicon-2026-05-10,gale,E,497,0,500,253,582
Rsilicon-2026-05-10,gale,E,498,0,500,253,582
Rsilicon-2026-05-10,gale,E,4# step 1/13 rpm=500 period_us=333 ints=500 count=499
Rsilicon-2026-05-10,gale,D,step_1,161231651,178,89,46,71,141
Rsilicon-2026-05-10,gale,H,step_1,168438,22318,0
Rsilicon-2026-05-10,gale,E,500,1,1000,253,582
Rsilicon-2026-05-10,gale,E,501,1,1000,253,582
Rsilicon-2026-05-10,gale,E,502,1,1000,253,582
Rsilicon-2026-05-10,gale,E,503,1,1000,253,582
Rsilicon-2026-05-10,gale,E,504,1,1000,253,582
Rsilicon-2026-05-10,gale,E,505,1,1000,253,582
Rsilicon-2026-05-10,gale,E,506,1,1000,253,582
Rsilicon-2026-05-10,gale,E,507,1,1000,253,582
Rsilicon-2026-05-10,gale,E,508,1,1000,253,582
Rsilicon-2026-05-10,gale,E,509,1,1000,253,582
Rsilicon-2026-05-10,gale,E,510,1,1000,253,582
Rsilicon-2026-05-10,gale,E,511,1,1000,253,582
Rsilicon-2026-05-10,gale,E,512,1,1000,253,582
Rsilicon-2026-05-10,gale,E,513,1,1000,253,582
Rsilicon-2026-05-10,gale,E,514,1,1000,253,582
Rsilicon-2026-05-10,gale,E,515,1,1000,253,582
Rsilicon-2026-05-10,gale,E,516,1,1000,253,582
Rsilicon-2026-05-10,gale,E,517,1,1000,253,582
Rsilicon-2026-05-10,gale,E,518,1,1000,253,582
Rsilicon-2026-05-10,gale,E,519,1,1000,253,582
Rsilicon-2026-05-10,gale,E,520,1,1000,253,582
Rsilicon-2026-05-10,gale,E,521,1,1000,253,582
Rsilicon-2026-05-10,gale,E,522,1,1000,253,582
Rsilicon-2026-05-10,gale,E,523,1,1000,253,582
Rsilicon-2026-05-10,gale,E,524,1,1000,253,582
Rsilicon-2026-05-10,gale,E,525,1,1000,253,582
Rsilicon-2026-05-10,gale,E,526,1,1000,253,582
Rsilicon-2026-05-10,gale,E,527,1,1000,253,582
Rsilicon-2026-05-10,gale,E,528,1,1000,253,582
Rsilicon-2026-05-10,gale,E,529,1,1000,253,582
Rsilicon-2026-05-10,gale,E,530,1,1000,253,582
Rsilicon-2026-05-10,gale,E,531,1,1000,253,582
Rsilicon-2026-05-10,gale,E,532,1,1000,253,582
Rsilicon-2026-05-10,gale,E,533,1,1000,253,582
Rsilicon-2026-05-10,gale,E,534,1,1000,253,582
Rsilicon-2026-05-10,gale,E,535,1,1000,253,582
Rsilicon-2026-05-10,gale,E,536,1,1000,253,582
Rsilicon-2026-05-10,gale,E,537,1,1000,253,582
Rsilicon-2026-05-10,gale,E,538,1,1000,253,582
Rsilicon-2026-05-10,gale,E,539,1,1000,253,582
Rsilicon-2026-05-10,gale,E,540,1,1000,253,582
Rsilicon-2026-05-10,gale,E,541,1,1000,253,582
Rsilicon-2026-05-10,gale,E,542,1,1000,253,582
Rsilicon-2026-05-10,gale,E,543,1,1000,253,582
Rsilicon-2026-05-10,gale,E,544,1,1000,253,582
Rsilicon-2026-05-10,gale,E,545,1,1000,253,582
Rsilicon-2026-05-10,gale,E,546,1,1000,253,582
Rsilicon-2026-05-10,gale,E,547,1,1000,253,582
Rsilicon-2026-05-10,gale,E,548,1,1000,253,582
Rsilicon-2026-05-10,gale,E,549,1,1000,253,582
Rsilicon-2026-05-10,gale,E,550,1,1000,253,582
Rsilicon-2026-05-10,gale,E,551,1,1000,253,582
Rsilicon-2026-05-10,gale,E,552,1,1000,253,582
Rsilicon-2026-05-10,gale,E,553,1,1000,253,582
Rsilicon-2026-05-10,gale,E,554,1,1000,253,582
Rsilicon-2026-05-10,gale,E,555,1,1000,253,582
Rsilicon-2026-05-10,gale,E,556,1,1000,253,582
Rsilicon-2026-05-10,gale,E,557,1,1000,253,582
Rsilicon-2026-05-10,gale,E,558,1,1000,253,582
Rsilicon-2026-05-10,gale,E,559,1,1000,253,582
Rsilicon-2026-05-10,gale,E,560,1,1000,253,582
Rsilicon-2026-05-10,gale,E,561,1,1000,253,582
Rsilicon-2026-05-10,gale,E,562,1,1000,253,582
Rsilicon-2026-05-10,gale,E,563,1,1000,253,582
Rsilicon-2026-05-10,gale,E,564,1,1000,253,582
Rsilicon-2026-05-10,gale,E,565,1,1000,253,582
Rsilicon-2026-05-10,gale,E,566,1,1000,253,582
Rsilicon-2026-05-10,gale,E,567,1,1000,253,582
Rsilicon-2026-05-10,gale,E,568,1,1000,253,582
Rsilicon-2026-05-10,gale,E,569,1,1000,253,582
Rsilicon-2026-05-10,gale,E,570,1,1000,253,582
Rsilicon-2026-05-10,gale,E,571,1,1000,253,582
Rsilicon-2026-05-10,gale,E,572,1,1000,253,582
Rsilicon-2026-05-10,gale,E,573,1,1000,253,582
Rsilicon-2026-05-10,gale,E,574,1,1000,253,582
Rsilicon-2026-05-10,gale,E,575,1,1000,253,582
Rsilicon-2026-05-10,gale,E,576,1,1000,253,582
Rsilicon-2026-05-10,gale,E,577,1,1000,253,582
Rsilicon-2026-05-10,gale,E,578,1,1000,253,582
Rsilicon-2026-05-10,gale,E,579,1,1000,253,582
Rsilicon-2026-05-10,gale,E,580,1,1000,253,582
Rsilicon-2026-05-10,gale,E,581,1,1000,253,582
Rsilicon-2026-05-10,gale,E,582,1,1000,253,582
Rsilicon-2026-05-10,gale,E,583,1,1000,253,582
Rsilicon-2026-05-10,gale,E,584,1,1000,253,582
Rsilicon-2026-05-10,gale,E,585,1,1000,253,582
Rsilicon-2026-05-10,gale,E,586,1,1000,253,582
Rsilicon-2026-05-10,gale,E,587,1,1000,253,582
Rsilicon-2026-05-10,gale,E,588,1,1000,253,582
Rsilicon-2026-05-10,gale,E,589,1,1000,253,582
Rsilicon-2026-05-10,gale,E,590,1,1000,253,582
Rsilicon-2026-05-10,gale,E,591,1,1000,253,582
Rsilicon-2026-05-10,gale,E,592,1,1000,253,582
Rsilicon-2026-05-10,gale,E,593,1,1000,253,582
Rsilicon-2026-05-10,gale,E,594,1,1000,253,582
Rsilicon-2026-05-10,gale,E,595,1,1000,253,582
Rsilicon-2026-05-10,gale,E,596,1,1000,253,582
Rsilicon-2026-05-10,gale,E,597,1,1000,253,582
Rsilicon-2026-05-10,gale,E,598,1,1000,253,582
Rsilicon-2026-05-10,gale,E,599,1,1000,253,582
Rsilicon-2026-05-10,gale,E,600,1,1000,253,582
Rsilicon-2026-05-10,gale,E,601,1,1000,253,582
Rsilicon-2026-05-10,gale,E,602,1,1000,253,582
Rsilicon-2026-05-10,gale,E,603,1,1000,253,582
Rsilicon-2026-05-10,gale,E,604,1,1000,253,582
Rsilicon-2026-05-10,gale,E,605,1,1000,253,582
Rsilicon-2026-05-10,gale,E,606,1,1000,253,582
Rsilicon-2026-05-10,gale,E,607,1,1000,253,582
Rsilicon-2026-05-10,gale,E,608,1,1000,253,582
Rsilicon-2026-05-10,gale,E,609,1,1000,253,582
Rsilicon-2026-05-10,gale,E,610,1,1000,253,582
Rsilicon-2026-05-10,gale,E,611,1,1000,253,582
Rsilicon-2026-05-10,gale,E,612,1,1000,253,582
Rsilicon-2026-05-10,gale,E,613,1,1000,253,582
Rsilicon-2026-05-10,gale,E,614,1,1000,253,582
Rsilicon-2026-05-10,gale,E,615,1,1000,253,582
Rsilicon-2026-05-10,gale,E,616,1,1000,253,582
Rsilicon-2026-05-10,gale,E,617,1,1000,253,582
Rsilicon-2026-05-10,gale,E,618,1,1000,253,582
Rsilicon-2026-05-10,gale,E,619,1,1000,253,582
Rsilicon-2026-05-10,gale,E,620,1,1000,253,582
Rsilicon-2026-05-10,gale,E,621,1,1000,253,582
Rsilicon-2026-05-10,gale,E,622,1,1000,253,582
Rsilicon-2026-05-10,gale,E,623,1,1000,253,582
Rsilicon-2026-05-10,gale,E,624,1,1000,253,582
Rsilicon-2026-05-10,gale,E,625,1,1000,253,582
Rsilicon-2026-05-10,gale,E,626,1,1000,253,582
Rsilicon-2026-05-10,gale,E,627,1,1000,253,582
Rsilicon-2026-05-10,gale,E,628,1,1000,253,582
Rsilicon-2026-05-10,gale,E,629,1,1000,253,582
Rsilicon-2026-05-10,gale,E,630,1,1000,253,582
Rsilicon-2026-05-10,gale,E,631,1,1000,253,582
Rsilicon-2026-05-10,gale,E,632,1,1000,253,582
Rsilicon-2026-05-10,gale,E,633,1,1000,253,582
Rsilicon-2026-05-10,gale,E,634,1,1000,253,582
Rsilicon-2026-05-10,gale,E,635,1,1000,253,582
Rsilicon-2026-05-10,gale,E,636,1,1000,253,582
Rsilicon-2026-05-10,gale,E,637,1,1000,253,582
Rsilicon-2026-05-10,gale,E,638,1,1000,253,582
Rsilicon-2026-05-10,gale,E,639,1,1000,253,582
Rsilicon-2026-05-10,gale,E,640,1,1000,253,582
Rsilicon-2026-05-10,gale,E,641,1,1000,253,582
Rsilicon-2026-05-10,gale,E,642,1,1000,253,582
Rsilicon-2026-05-10,gale,E,643,1,1000,253,582
Rsilicon-2026-05-10,gale,E,644,1,1000,253,582
Rsilicon-2026-05-10,gale,E,645,1,1000,253,582
Rsilicon-2026-05-10,gale,E,646,1,1000,253,582
Rsilicon-2026-05-10,gale,E,647,1,1000,253,582
Rsilicon-2026-05-10,gale,E,648,1,1000,253,582
Rsilicon-2026-05-10,gale,E,649,1,1000,253,582
Rsilicon-2026-05-10,gale,E,650,1,1000,253,582
Rsilicon-2026-05-10,gale,E,651,1,1000,253,582
Rsilicon-2026-05-10,gale,E,652,1,1000,253,582
Rsilicon-2026-05-10,gale,E,653,1,1000,253,582
Rsilicon-2026-05-10,gale,E,654,1,1000,253,582
Rsilicon-2026-05-10,gale,E,655,1,1000,253,582
Rsilicon-2026-05-10,gale,E,656,1,1000,253,582
Rsilicon-2026-05-10,gale,E,657,1,1000,253,582
Rsilicon-2026-05-10,gale,E,658,1,1000,253,582
Rsilicon-2026-05-10,gale,E,659,1,1000,253,582
Rsilicon-2026-05-10,gale,E,660,1,1000,253,582
Rsilicon-2026-05-10,gale,E,661,1,1000,253,582
Rsilicon-2026-05-10,gale,E,662,1,1000,253,582
Rsilicon-2026-05-10,gale,E,663,1,1000,253,582
Rsilicon-2026-05-10,gale,E,664,1,1000,253,582
Rsilicon-2026-05-10,gale,E,665,1,1000,253,582
Rsilicon-2026-05-10,gale,E,666,1,1000,253,582
Rsilicon-2026-05-10,gale,E,667,1,1000,253,582
Rsilicon-2026-05-10,gale,E,668,1,1000,253,582
Rsilicon-2026-05-10,gale,E,669,1,1000,253,582
Rsilicon-2026-05-10,gale,E,670,1,1000,253,582
Rsilicon-2026-05-10,gale,E,671,1,1000,253,582
Rsilicon-2026-05-10,gale,E,672,1,1000,253,582
Rsilicon-2026-05-10,gale,E,673,1,1000,253,582
Rsilicon-2026-05-10,gale,E,674,1,1000,253,582
Rsilicon-2026-05-10,gale,E,675,1,1000,253,582
Rsilicon-2026-05-10,gale,E,676,1,1000,253,582
Rsilicon-2026-05-10,gale,E,677,1,1000,253,582
Rsilicon-2026-05-10,gale,E,678,1,1000,253,582
Rsilicon-2026-05-10,gale,E,679,1,1000,253,582
Rsilicon-2026-05-10,gale,E,680,1,1000,253,582
Rsilicon-2026-05-10,gale,E,681,1,1000,253,582
Rsilicon-2026-05-10,gale,E,682,1,1000,253,582
Rsilicon-2026-05-10,gale,E,683,1,1000,253,582
Rsilicon-2026-05-10,gale,E,684,1,1000,253,582
Rsilicon-2026-05-10,gale,E,685,1,1000,253,582
Rsilicon-2026-05-10,gale,E,686,1,1000,253,582
Rsilicon-2026-05-10,gale,E,687,1,1000,253,582
Rsilicon-2026-05-10,gale,E,688,1,1000,253,582
Rsilicon-2026-05-10,gale,E,689,1,1000,253,582
Rsilicon-2026-05-10,gale,E,690,1,1000,253,582
Rsilicon-2026-05-10,gale,E,691,1,1000,253,582
Rsilicon-2026-05-10,gale,E,692,1,1000,253,582
Rsilicon-2026-05-10,gale,E,693,1,1000,253,582
Rsilicon-2026-05-10,gale,E,694,1,1000,253,582
Rsilicon-2026-05-10,gale,E,695,1,1000,253,582
Rsilicon-2026-05-10,gale,E,696,1,1000,253,582
Rsilicon-2026-05-10,gale,E,697,1,1000,253,582
Rsilicon-2026-05-10,gale,E,698,1,1000,253,582
Rsilicon-2026-05-10,gale,E,699,1,1000,253,582
Rsilicon-2026-05-10,gale,E,700,1,1000,253,582
Rsilicon-2026-05-10,gale,E,701,1,1000,253,582
Rsilicon-2026-05-10,gale,E,702,1,1000,253,582
Rsilicon-2026-05-10,gale,E,703,1,1000,253,582
Rsilicon-2026-05-10,gale,E,704,1,1000,253,582
Rsilicon-2026-05-10,gale,E,705,1,1000,253,582
Rsilicon-2026-05-10,gale,E,706,1,1000,253,582
Rsilicon-2026-05-10,gale,E,707,1,1000,253,582
Rsilicon-2026-05-10,gale,E,708,1,1000,253,582
Rsilicon-2026-05-10,gale,E,709,1,1000,253,582
Rsilicon-2026-05-10,gale,E,710,1,1000,253,582
Rsilicon-2026-05-10,gale,E,711,1,1000,253,582
Rsilicon-2026-05-10,gale,E,712,1,1000,253,582
Rsilicon-2026-05-10,gale,E,713,1,1000,253,582
Rsilicon-2026-05-10,gale,E,714,1,1000,253,582
Rsilicon-2026-05-10,gale,E,715,1,1000,253,582
Rsilicon-2026-05-10,gale,E,716,1,1000,253,582
Rsilicon-2026-05-10,gale,E,717,1,1000,253,582
Rsilicon-2026-05-10,gale,E,718,1,1000,253,582
Rsilicon-2026-05-10,gale,E,719,1,1000,253,582
Rsilicon-2026-05-10,gale,E,720,1,1000,253,582
Rsilicon-2026-05-10,gale,E,721,1,1000,253,582
Rsilicon-2026-05-10,gale,E,722,1,1000,253,582
Rsilicon-2026-05-10,gale,E,723,1,1000,253,582
Rsilicon-2026-05-10,gale,E,724,1,1000,253,582
Rsilicon-2026-05-10,gale,E,725,1,1000,253,582
Rsilicon-2026-05-10,gale,E,726,1,1000,253,582
Rsilicon-2026-05-10,gale,E,727,1,1000,253,582
Rsilicon-2026-05-10,gale,E,728,1,1000,253,582
Rsilicon-2026-05-10,gale,E,729,1,1000,253,582
Rsilicon-2026-05-10,gale,E,730,1,1000,253,582
Rsilicon-2026-05-10,gale,E,731,1,1000,253,582
Rsilicon-2026-05-10,gale,E,732,1,1000,253,582
Rsilicon-2026-05-10,gale,E,733,1,1000,253,582
Rsilicon-2026-05-10,gale,E,734,1,1000,253,582
Rsilicon-2026-05-10,gale,E,735,1,1000,253,582
Rsilicon-2026-05-10,gale,E,736,1,1000,253,582
Rsilicon-2026-05-10,gale,E,737,1,1000,253,582
Rsilicon-2026-05-10,gale,E,738,1,1000,253,582
Rsilicon-2026-05-10,gale,E,739,1,1000,253,582
