,<rpm>,<algo_cycles>,<handoff_cycles>
# DWT rows:   D,<at>,<cyccnt>,<cpicnt>,<exccnt>,<sleepcnt>,<lsucnt>,<foldcnt>
# health rows:H,<at>,<temp_mC>,<vref_mV>,<vbat_mV>
D,boot,6498924,193,52,0,210,151
H,boot,211981,27650,0
E,0,0,500,253,1345
E,1,0,500,253,582
E,2,0,500,253,582
E,3,0,500,253,582
E,4,0,500,253,582
E,5,0,500,253,582
E,6,0,500,253,582
E,7,0,500,253,582
E,8,0,500,253,582
E,9,0,500,253,582
E,10,0,500,253,582
E,11,0,500,253,582
E,12,0,500,253,582
E,13,0,500,253,582
E,14,0,500,253,582
E,15,0,500,253,582
E,16,0,500,253,582
E,17,0,500,253,582
E,18,0,500,253,582
E,19,0,500,253,582
E,20,0,500,253,582
E,21���b���b�
E,409,0,500,253,582
E,410,0,500,253,582
E,411,0,500,253,582
E,412,0,500,253,582
E,413,0,500,253,582
E,414,0,500,253,582
E,415,0,500,253,582
E,416,0,500,253,582
E,417,0,500,253,582
E,418,0,500,253,582
E,419,0,500,253,582
E,420,0,500,253,582
E,421,0,500,253,582
E,422,0,500,253,582
E,423,0,500,253,582
E,424,0,500,253,582
E,425,0,500,253,582
E,426,0,500,253,582
E,427,0,500,253,582
E,428,0,500,253,582
E,429,0,500,253,582
E,430,0,500,253,582
E,431,0,500,253,582
E,432,0,500,253,582
E,433,0,500,253,582
E,434,0,500,253,582
E,435,0,500,253,582
E,436,0,500,253,582
E,437,0,500,253,582
E,438,0,500,253,582
E,439,0,500,253,582
E,440,0,500,253,582
E,441,0,500,253,582
E,442,0,500,253,582
E,443,0,500,253,582
E,444,0,500,253,582
E,445,0,500,253,582
E,446,0,500,253,582
E,447,0,500,253,582
E,448,0,500,253,582
E,449,0,500,253,582
E,450,0,500,253,582
E,451,0,500,253,582
E,452,0,500,253,582
E,453,0,500,253,582
E,454,0,500,253,582
E,455,0,500,253,582
E,456,0,500,253,582
E,457,0,500,253,582
E,458,0,500,253,582
E,459,0,500,253,582
E,460,0,500,253,582
E,461,0,500,253,582
E,462,0,500,253,582
E,463,0,500,253,582
E,464,0,500,253,582
E,465,0,500,253,582
E,466,0,500,253,582
E,467,0,500,253,582
E,468,0,500,253,582
E,469,0,500,253,582
E,470,0,500,253,582
E,471,0,500,253,582
E,472,0,500,253,582
E,473,0,500,253,582
E,474,0,500,253,582
E,475,0,500,253,582
E,476,0,500,253,582
E,477,0,500,253,582
E,478,0,500,253,582
E,479,0,500,253,582
E,480,0,500,253,582
E,481,0,500,253,582
E,482,0,500,253,582
E,483,0,500,253,582
E,484,0,500,253,582
E,485,0,500,253,582
E,486,0,500,253,582
E,487,0,500,253,582
E,488,0,500,253,582
E,489,0,500,253,582
E,490,0,500,253,582
E,491,0,500,253,582
E,492,0,500,253,582
E,493,0,500,253,582
E,494,0,500,253,582
E,495,0,500,253,582
E,496,0,500,253,582
E,497,0,500,253,582
E,498,0,500,253,582
E,4# step 1/13 rpm=500 period_us=333 ints=500 count=499
D,step_1,161231651,178,89,46,71,141
H,step_1,168438,22318,0
99,0,500,253,582
E,500,1,1000,253,582
E,501,1,1000,253,582
E,502,1,1000,253,582
E,503,1,1000,253,582
E,504,1,1000,253,582
E,505,1,1000,253,582
E,506,1,1000,253,582
E,507,1,1000,253,582
E,508,1,1000,253,582
E,509,1,1000,253,582
E,510,1,1000,253,582
E,511,1,1000,253,582
E,512,1,1000,253,582
E,513,1,1000,253,582
E,514,1,1000,253,582
E,515,1,1000,253,582
E,516,1,1000,253,582
E,517,1,1000,253,582
E,518,1,1000,253,582
E,519,1,1000,253,582
E,520,1,1000,253,582
E,521,1,1000,253,582
E,522,1,1000,253,582
E,523,1,1000,253,582
E,524,1,1000,253,582
E,525,1,1000,253,582
E,526,1,1000,253,582
E,527,1,1000,253,582
E,528,1,1000,253,582
E,529,1,1000,253,582
E,530,1,1000,253,582
E,531,1,1000,253,582
E,532,1,1000,253,582
E,533,1,1000,253,582
E,534,1,1000,253,582
E,535,1,1000,253,582
E,536,1,1000,253,582
E,537,1,1000,253,582
E,538,1,1000,253,582
E,539,1,1000,253,582
E,540,1,1000,253,582
E,541,1,1000,253,582
E,542,1,1000,253,582
E,543,1,1000,253,582
E,544,1,1000,253,582
E,545,1,1000,253,582
E,546,1,1000,253,582
E,547,1,1000,253,582
E,548,1,1000,253,582
E,549,1,1000,253,582
E,550,1,1000,253,582
E,551,1,1000,253,582
E,552,1,1000,253,582
E,553,1,1000,253,582
E,554,1,1000,253,582
E,555,1,1000,253,582
E,556,1,1000,253,582
E,557,1,1000,253,582
E,558,1,1000,253,582
E,559,1,1000,253,582
E,560,1,1000,253,582
E,561,1,1000,253,582
E,562,1,1000,253,582
E,563,1,1000,253,582
E,564,1,1000,253,582
E,565,1,1000,253,582
E,566,1,1000,253,582
E,567,1,1000,253,582
E,568,1,1000,253,582
E,569,1,1000,253,582
E,570,1,1000,253,582
E,571,1,1000,253,582
E,572,1,1000,253,582
E,573,1,1000,253,582
E,574,1,1000,253,582
E,575,1,1000,253,582
E,576,1,1000,253,582
E,577,1,1000,253,582
E,578,1,1000,253,582
E,579,1,1000,253,582
E,580,1,1000,253,582
E,581,1,1000,253,582
E,582,1,1000,253,582
E,583,1,1000,253,582
E,584,1,1000,253,582
E,585,1,1000,253,582
E,586,1,1000,253,582
E,587,1,1000,253,582
E,588,1,1000,253,582
E,589,1,1000,253,582
E,590,1,1000,253,582
E,591,1,1000,253,582
E,592,1,1000,253,582
E,593,1,1000,253,582
E,594,1,1000,253,582
E,595,1,1000,253,582
E,596,1,1000,253,582
E,597,1,1000,253,582
E,598,1,1000,253,582
E,599,1,1000,253,582
E,600,1,1000,253,582
E,601,1,1000,253,582
E,602,1,1000,253,582
E,603,1,1000,253,582
E,604,1,1000,253,582
E,605,1,1000,253,582
E,606,1,1000,253,582
E,607,1,1000,253,582
E,608,1,1000,253,582
E,609,1,1000,253,582
E,610,1,1000,253,582
E,611,1,1000,253,582
E,612,1,1000,253,582
E,613,1,1000,253,582
E,614,1,1000,253,582
E,615,1,1000,253,582
E,616,1,1000,253,582
E,617,1,1000,253,582
E,618,1,1000,253,582
E,619,1,1000,253,582
E,620,1,1000,253,582
E,621,1,1000,253,582
E,622,1,1000,253,582
E,623,1,1000,253,582
E,624,1,1000,253,582
E,625,1,1000,253,582
E,626,1,1000,253,582
E,627,1,1000,253,582
E,628,1,1000,253,582
E,629,1,1000,253,582
E,630,1,1000,253,582
E,631,1,1000,253,582
E,632,1,1000,253,582
E,633,1,1000,253,582
E,634,1,1000,253,582
E,635,1,1000,253,582
E,636,1,1000,253,582
E,637,1,1000,253,582
E,638,1,1000,253,582
E,639,1,1000,253,582
E,640,1,1000,253,582
E,641,1,1000,253,582
E,642,1,1000,253,582
E,643,1,1000,253,582
E,644,1,1000,253,582
E,645,1,1000,253,582
E,646,1,1000,253,582
E,647,1,1000,253,582
E,648,1,1000,253,582
E,649,1,1000,253,582
E,650,1,1000,253,582
E,651,1,1000,253,582
E,652,1,1000,253,582
E,653,1,1000,253,582
E,654,1,1000,253,582
E,655,1,1000,253,582
E,656,1,1000,253,582
E,657,1,1000,253,582
E,658,1,1000,253,582
E,659,1,1000,253,582
E,660,1,1000,253,582
E,661,1,1000,253,582
E,662,1,1000,253,582
E,663,1,1000,253,582
E,664,1,1000,253,582
E,665,1,1000,253,582
E,666,1,1000,253,582
E,667,1,1000,253,582
E,668,1,1000,253,582
E,669,1,1000,253,582
E,670,1,1000,253,582
E,671,1,1000,253,582
E,672,1,1000,253,582
E,673,1,1000,253,582
E,674,1,1000,253,582
E,675,1,1000,253,582
E,676,1,1000,253,582
E,677,1,1000,253,582
E,678,1,1000,253,582
E,679,1,1000,253,582
E,680,1,1000,253,582
E,681,1,1000,253,582
E,682,1,1000,253,582
E,683,1,1000,253,582
E,684,1,1000,253,582
E,685,1,1000,253,582
E,686,1,1000,253,582
E,687,1,1000,253,582
E,688,1,1000,253,582
E,689,1,1000,253,582
E,690,1,1000,253,582
E,691,1,1000,253,582
E,692,1,1000,253,582
E,693,1,1000,253,582
E,694,1,1000,253,582
E,695,1,1000,253,582
E,696,1,1000,253,582
E,697,1,1000,253,582
E,698,1,1000,253,582
E,699,1,1000,253,582
E,700,1,1000,253,582
E,701,1,1000,253,582
E,702,1,1000,253,582
E,703,1,1000,253,582
E,704,1,1000,253,582
E,705,1,1000,253,582
E,706,1,1000,253,582
E,707,1,1000,253,582
E,708,1,1000,253,582
E,709,1,1000,253,582
E,710,1,1000,253,582
E,711,1,1000,253,582
E,712,1,1000,253,582
E,713,1,1000,253,582
E,714,1,1000,253,582
E,715,1,1000,253,582
E,716,1,1000,253,582
E,717,1,1000,253,582
E,718,1,1000,253,582
E,719,1,1000,253,582
E,720,1,1000,253,582
E,721,1,1000,253,582
E,722,1,1000,253,582
E,723,1,1000,253,582
E,724,1,1000,253,582
E,725,1,1000,253,582
E,726,1,1000,253,582
E,727,1,1000,253,582
E,728,1,1000,253,582
E,729,1,1000,253,582
E,730,1,1000,253,582
E,731,1,1000,253,582
E,732,1,1000,253,582
E,733,1,1000,253,582
E,734,1,1000,253,582
E,735,1,1000,253,582
E,736,1,1000,253,582
E,737,1,1000,253,582
E,738,1,1000,253,582
E,739,1,1000,253,582
E,740,1,1000,253,582
E,741,1,1000,253,582
E,742,1,1000,253,582
E,743,1,1000,253,582
E,744,1,1000,253,582
E,745,1,1000,253,582
E,746,1,1000,253,582
E,747,1,1000,253,582
E,748,1,1000,253,582
E,749,1,1000,253,582
E,750,1,1000,253,582
E,751,1,1000,253,582
E,752,1,1000,253,582
E,753,1,1000,253,582
E,754,1,1000,253,582
E,755,1,1000,253,582
E,756,1,1000,253,582
E,757,1,1000,253,582
E,758,1,1000,253,582
E,759,1,1000,253,582
E,760,1,1000,253,582
E,761,1,1000,253,582
E,762,1,1000,253,582
E,763,1,1000,253,582
E,764,1,1000,253,582
E,765,1,1000,253,582
E,766,1,1000,253,582
E,767,1,1000,253,582
E,768,1,1000,253,582
E,769,1,1000,253,582
E,770,1,1000,253,582
E,771,1,1000,253,582
E,772,1,1000,253,582
E,773,1,1000,253,582
E,774,1,1000,253,582
E,775,1,1000,253,582
E,776,1,1000,253,582
E,777,1,1000,253,582
E,778,1,1000,253,582
E,779,1,1000,253,582
E,780,1,1000,253,582
E,781,1,1000,253,582
E,782,1,1000,253,582
E,783,1,1000,253,582
E,784,1,1000,253,582
E,785,1,1000,253,582
E,786,1,1000,253,582
E,787,1,1000,253,582
E,788,1,1000,253,582
E,789,1,1000,253,582
E,790,1,1000,253,582
E,791,1,1000,253,582
E,792,1,1000,253,582
E,793,1,1000,253,582
E,794,1,1000,253,582
E,795,1,1000,253,582
E,796,1,1000,253,582
E,797,1,1000,253,582
E,798,1,1000,253,582
E,799,1,1000,253,582
E,800,1,1000,253,582
E,801,1,1000,253,582
E,802,1,1000,253,582
E,803,1,1000,253,582
E,804,1,1000,253,582
E,805,1,1000,253,582
E,806,1,1000,253,582
E,807,1,1000,253,582
E,808,1,1000,253,582
E,809,1,1000,253,582
E,810,1,1000,253,582
E,811,1,1000,253,582
E,812,1,1000,253,582
E,813,1,1000,253,582
E,814,1,1000,253,582
E,815,1,1000,253,582
E,816,1,1000,253,582
E,817,1,1000,253,582
E,818,1,1000,253,582
E,819,1,1000,253,582
E,820,1,1000,253,582
E,821,1,1000,253,582
E,822,1,1000,253,582
E,823,1,1000,253,582
E,824,1,1000,253,582
E,825,1,1000,253,582
E,826,1,1000,253,582
E,827,1,1000,253,582
E,828,1,1000,253,582
E,829,1,1000,253,582
E,830,1,1000,253,582
E,831,1,1000,253,582
E,832,1,1000,253,582
E,833,1,1000,253,582
