*** Booting Zephyr OS build v4.4.0-7-g719cc4890346 ***
engine_control bench starting (target 150 samples, 5 sweep steps)
# H ready: temp_mC,vref_mV via ADC1 ch16 + ch18; VBAT not wired (always 0)
# H cal: TS_CAL1=1034@30C TS_CAL2=1367@130C VREFINT_CAL=1659@3000mV
=== ENGINE-CONTROL BENCH RESULTS ===
build,gale
cycles_per_sec,170000000
target_samples,150
# event rows: E,<seq>,<step>,<rpm>,<algo_cycles>,<handoff_cycles>
# DWT rows:   D,<at>,<cyccnt>,<cpicnt>,<exccnt>,<sleepcnt>,<lsucnt>,<foldcnt>
# health rows:H,<at>,<temp_mC>,<vref_mV>,<vbat_mV>
D,boot,6484207,17,53,0,22,149
H,boot,284654,30533,0
E,0,0,1000,259,1607
E,1,0,1000,259,907
E,2,0,1000,259,907
E,3,0,1000,259,907
E,4,0,1000,259,907
E,5,0,1000,259,907
E,6,0,1000,259,907
E,7,0,1000,259,907
E,8,0,1000,259,907
E,9,0,1000,259,907
E,10,0,1000,259,907
E,11,0,1000,259,907
E,12,0,1000,259,907
E,13,0,1000,259,907
E,14,0,1000,259,907
E,15,0,1000,259,907
E,16,0,1000,259,907
E,17,0,1000,259,907
E,18,0,1000,259,907
E,19,0,1000,259,907
E,20,0,1000,259,907
E,21,0,1000,259,907
E,22,0,1000,259,907
E,23,0,1000,259,907
E,24,0,1000,259,907
E,25,0,1000,259,907
E,26,0,1000,259,907
E,27,0,1000,259,907
E,28,0,1000,259,907
E,29,0,1000,259,907
# step 1/5 rpm=1000 period_us=166 ints=30 count=30
D,step_1,17434279,179,34,96,214,76
H,step_1,106576,29981,0
E,30,1,2000,259,1607
E,31,1,2000,259,907
E,32,1,2000,259,907
E,33,1,2000,259,907
E,34,1,2000,259,907
E,35,1,2000,259,907
E,36,1,2000,259,907
E,37,1,2000,259,907
E,38,1,2000,259,907
E,39,1,2000,259,907
E,40,1,2000,259,907
E,41,1,2000,259,907
E,42,1,2000,259,907
E,43,1,2000,259,907
E,44,1,2000,259,907
E,45,1,2000,259,907
E,46,1,2000,259,907
E,47,1,2000,259,907
E,48,1,2000,259,907
E,49,1,2000,259,907
E,50,1,2000,259,907
E,51,1,2000,259,907
E,52,1,2000,259,907
E,53,1,2000,259,907
E,54,1,2000,259,907
E,55,1,2000,259,907
E,56,1,2000,259,907
E,57,1,2000,259,907
E,58,1,2000,259,907
E,59,1,2000,259,907
# step 2/5 rpm=2000 period_us=83 ints=30 count=60
D,step_2,28469588,223,232,181,125,22
H,step_2,61831,28278,0
E,60,2,4000,259,1607
E,61,2,4000,259,907
E,62,2,4000,259,907
E,63,2,4000,259,907
E,64,2,4000,259,907
E,65,2,4000,259,907
E,66,2,4000,259,907
E,67,2,4000,259,907
E,68,2,4000,259,907
E,69,2,4000,259,907
E,70,2,4000,259,907
E,71,2,4000,259,907
E,72,2,4000,259,907
E,73,2,4000,259,907
E,74,2,4000,259,907
E,75,2,4000,259,907
E,76,2,4000,259,907
E,77,2,4000,259,907
E,78,2,4000,259,907
E,79,2,4000,259,907
E,80,2,4000,259,907
E,81,2,4000,259,907
E,82,2,4000,259,907
E,83,2,4000,259,907
E,84,2,4000,259,907
E,85,2,4000,259,907
E,86,2,4000,259,907
E,87,2,4000,259,907
E,88,2,4000,259,907
E,89,2,4000,259,907
# step 3/5 rpm=4000 period_us=41 ints=30 count=90
D,step_3,39519656,232,171,120,102,227
H,step_3,63933,28440,0
E,90,3,6000,259,1607
E,91,3,6000,259,907
E,92,3,6000,259,910
E,93,3,6000,259,910
E,94,3,6000,259,907
E,95,3,6000,259,907
E,96,3,6000,259,907
E,97,3,6000,259,907
E,98,3,6000,259,907
E,99,3,6000,259,907
E,100,3,6000,259,907
E,101,3,6000,259,907
E,102,3,6000,259,907
E,103,3,6000,259,907
E,104,3,6000,259,907
E,105,3,6000,259,907
E,106,3,6000,259,907
E,107,3,6000,259,907
E,108,3,6000,259,907
E,109,3,6000,259,907
E,110,3,6000,259,907
E,111,3,6000,259,907
E,112,3,6000,259,907
E,113,3,6000,259,907
E,114,3,6000,259,907
E,115,3,6000,259,907
E,116,3,6000,259,907
E,117,3,6000,259,907
E,118,3,6000,259,907
E,119,3,# step 4/5 rpm=6000 period_us=27 ints=30 count=119
D,step_4,50616886,207,77,153,10,149
H,step_4,72942,30722,0
6000,259,907
E,120,4,10000,259,907
E,121,4,10000,259,910
E,122,4,10000,259,910
E,123,4,10000,261,904
E,124,4,10000,259,907
E,125,4,10000,259,907
E,126,4,10000,261,904
E,127,4,10000,259,907
E,128,4,10000,259,907
E,129,4,10000,261,904
E,130,4,10000,259,907
E,131,4,10000,259,907
E,132,4,10000,261,904
E,133,4,10000,259,907
E,134,4,10000,259,907
E,135,4,10000,261,904
E,136,4,10000,259,907
E,137,4,10000,259,907
E,138,4,10000,261,904
E,139,4,10000,259,907
E,140,4,10000,259,907
E,141,4,10000,261,904
E,142,4,10000,259,907
E,143,4,10000,259,907
E,144,4,10000,261,904
E,145,4,10000,259,907
E,146,4,10000,259,907
E,147,4,10000,261,904
E,148,4,10000,259,907
E,149,4,10000,# step 5/5 rpm=10000 period_us=16 ints=30 count=149
D,step_5,62555264,168,185,153,86,223
H,step_5,72642,28936,0
259,907
D,end,63602696,32,97,153,129,164
H,end,20091,30347,0
drops,0
samples,150
=== END ===
