*** Booting Zephyr OS build v4.4.0-7-g719cc4890346 ***
engine_control bench starting (target 150 samples, 5 sweep steps)
# H temp_mC,vref_mV,vbat_mV: not available on this target (stub backend)
=== ENGINE-CONTROL BENCH RESULTS ===
build,gale
cycles_per_sec,170000000
target_samples,150
overhead_cycles,60
# event rows: E,<seq>,<step>,<rpm>,<algo_cycles>,<handoff_cycles>
# algo / handoff cycles are AFTER subtracting overhead_cycles
# DWT rows:   D,<at>,<cyccnt>,<cpicnt>,<exccnt>,<sleepcnt>,<lsucnt>,<foldcnt>
# health rows:H,<at>,<temp_mC>,<vref_mV>,<vbat_mV>
D,boot,6789047,217,52,0,62,220
H,boot,0,0,0
E,0,0,1000,208,1586
E,1,0,1000,208,860
E,2,0,1000,208,860
E,3,0,1000,208,860
E,4,0,1000,208,860
E,5,0,1000,208,860
E,6,0,1000,208,860
E,7,0,1000,208,860
E,8,0,1000,208,860
E,9,0,1000,208,860
E,10,0,1000,208,860
E,11,0,1000,208,860
E,12,0,1000,208,860
E,13,0,1000,208,860
E,14,0,1000,208,860
E,15,0,1000,208,860
E,16,0,1000,208,860
E,17,0,1000,208,860
E,18,0,1000,208,860
E,19,0,1000,208,860
E,20,0,1000,208,860
E,21,0,1000,208,860
E,22,0,1000,208,860
E,23,0,1000,208,860
E,24,0,1000,208,860
E,25,0,1000,208,860
E,26,0,1000,208,860
E,27,0,1000,208,860
E,28,0,1000,208,860
E,29,0,1000,208,860
# step 1/5 rpm=1000 period_us=166 ints=30 count=30
D,step_1,17620228,80,139,190,153,53
H,step_1,0,0,0
E,30,1,2000,208,1586
E,31,1,2000,208,860
E,32,1,2000,208,860
E,33,1,2000,208,860
E,34,1,2000,208,860
E,35,1,2000,208,860
E,36,1,2000,208,860
E,37,1,2000,208,860
E,38,1,2000,208,860
E,39,1,2000,208,860
E,40,1,2000,208,860
E,41,1,2000,208,860
E,42,1,2000,208,860
E,43,1,2000,208,860
E,44,1,2000,208,860
E,45,1,2000,208,860
E,46,1,2000,208,860
E,47,1,2000,208,860
E,48,1,2000,208,860
E,49,1,2000,208,860
E,50,1,2000,208,860
E,51,1,2000,208,860
E,52,1,2000,208,860
E,53,1,2000,208,860
E,54,1,2000,208,860
E,55,1,2000,208,860
E,56,1,2000,208,860
E,57,1,2000,208,860
E,58,1,2000,208,860
E,59,1,2000,208,860
# step 2/5 rpm=2000 period_us=83 ints=30 count=60
D,step_2,28536444,8,177,50,123,159
H,step_2,0,0,0
E,60,2,4000,208,1586
E,61,2,4000,208,860
E,62,2,4000,208,860
E,63,2,4000,208,860
E,64,2,4000,208,860
E,65,2,4000,208,860
E,66,2,4000,208,860
E,67,2,4000,208,860
E,68,2,4000,208,860
E,69,2,4000,208,860
E,70,2,4000,208,860
E,71,2,4000,208,860
E,72,2,4000,208,860
E,73,2,4000,208,860
E,74,2,4000,208,860
E,75,2,4000,208,860
E,76,2,4000,208,860
E,77,2,4000,208,860
E,78,2,4000,208,860
E,79,2,4000,208,860
E,80,2,4000,208,860
E,81,2,4000,208,860
E,82,2,4000,208,860
E,83,2,4000,208,860
E,84,2,4000,208,860
E,85,2,4000,208,860
E,86,2,4000,208,860
E,87,2,4000,208,860
E,88,2,4000,208,860
E,89,2,4000,208,860
# step 3/5 rpm=4000 period_us=41 ints=30 count=90
D,step_3,39438518,81,219,59,122,8
H,step_3,0,0,0
E,90,3,6000,208,1586
E,91,3,6000,208,860
E,92,3,6000,208,860
E,93,3,6000,208,860
E,94,3,6000,208,860
E,95,3,6000,208,860
E,96,3,6000,208,860
E,97,3,6000,208,860
E,98,3,6000,208,860
E,99,3,6000,208,860
E,100,3,6000,208,860
E,101,3,6000,208,860
E,102,3,6000,208,860
E,103,3,6000,208,860
E,104,3,6000,208,860
E,105,3,6000,208,860
E,106,3,6000,208,860
E,107,3,6000,208,860
E,108,3,6000,208,860
E,109,3,6000,208,860
E,110,3,6000,208,860
E,111,3,6000,208,860
E,112,3,6000,208,860
E,113,3,6000,208,860
E,114,3,6000,208,860
E,115,3,6000,208,860
E,116,3,6000,208,860
E,117,3,6000,208,860
E,118,3,6000,208,860
E,119,3,# step 4/5 rpm=6000 period_us=27 ints=30 count=119
D,step_4,50358666,122,239,4,37,137
H,step_4,0,0,0
6000,208,860
E,120,4,10000,208,860
E,121,4,10000,208,860
E,122,4,10000,208,863
E,123,4,10000,208,863
E,124,4,10000,208,860
E,125,4,10000,208,860
E,126,4,10000,208,863
E,127,4,10000,208,860
E,128,4,10000,208,860
E,129,4,10000,208,863
E,130,4,10000,208,860
E,131,4,10000,208,860
E,132,4,10000,208,863
E,133,4,10000,208,860
E,134,4,10000,208,860
E,135,4,10000,208,863
E,136,4,10000,208,860
E,137,4,10000,208,860
E,138,4,10000,208,863
E,139,4,10000,208,860
E,140,4,10000,208,860
E,141,4,10000,208,863
E,142,4,10000,208,860
E,143,4,10000,208,860
E,144,4,10000,208,863
E,145,4,10000,208,860
E,146,4,10000,208,860
E,147,4,10000,208,863
E,148,4,10000,208,860
E,149,4,10000,# step 5/5 rpm=10000 period_us=16 ints=30 count=149
D,step_5,62164223,255,162,4,131,169
H,step_5,0,0,0
208,860
D,end,63078861,147,188,4,42,248
H,end,0,0,0
drops,0
samples,150
=== END ===
